id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020s,0.01,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2020s,0.65,0.04,0.09
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,82,2020s,0.02,0.07,0.28
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,69,2010s,0.72,0.03,0.08
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,0.01,0.06,0.22
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,65,2010s,0.88,0.03,0.07
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,71,2010s,0.45,0.04,0.11
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,77,2020s,0.18,0.05,0.14
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,72,2020s,0.60,0.04,0.10
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2020s,0.02,0.06,0.18
11,Golden Haze,Cloud Nine,hip-hop,chill,0.65,95,0.70,0.80,0.15,76,2020s,0.05,0.15,0.12
12,Piano Solitude,Ivory Keys,classical,focused,0.25,66,0.55,0.30,0.95,68,2010s,0.85,0.03,0.08
13,Boot Scootin,Dusty Roads,country,happy,0.71,128,0.78,0.74,0.58,61,2010s,0.02,0.06,0.18
14,Velvet Groove,Soulful Sunday,r&b,relaxed,0.52,94,0.76,0.69,0.45,74,2020s,0.04,0.08,0.11
15,Electric Storm,Bass Entity,electronic,intense,0.94,140,0.44,0.91,0.04,87,2020s,0.10,0.06,0.24
16,Mountain Air,Cedar Grove,folk,chill,0.31,75,0.73,0.48,0.88,65,2010s,0.08,0.05,0.16
17,Neon Afterglow,Neon Echo,pop,moody,0.68,112,0.42,0.71,0.28,78,2020s,0.03,0.05,0.14
18,Basement Beats,Street Level,hip-hop,intense,0.85,102,0.55,0.82,0.08,80,2020s,0.02,0.22,0.19
19,Cathedral Echo,Orbit Bloom,ambient,focused,0.20,55,0.50,0.38,0.90,58,2010s,0.78,0.04,0.09
20,Summer Bounce,Indigo Parade,indie pop,happy,0.80,130,0.88,0.85,0.20,82,2020s,0.01,0.07,0.22
